sustainability_info,count
100% Organic Cotton,93
eco-friendly,56
Made from organic cotton,36
organic cotton,23
made from organic cotton,23
Organic Cotton,23
Made from recycled materials,18
100% Recycled Polyester,16
eco-friendly materials,16
Water Repellent,14
100% Recycled Nylon,14
made from recycled materials,13
Recycled materials,11
Made from 100% Organic Cotton,10
100% Cotton,9
eco-friendly fabric,9
crafted from organic cotton,9
Made with organic cotton,9
Cruelty Free & Vegan,8
Vegan & Cruelty Free,7
Recycled materials used,7
Durable Water Repellent Finish,7
"eco-friendly, ethical production",7
made with organic cotton,6
Organic & Biodegradable Acetate Frame,6
"eco-friendly, made from organic cotton",6
Made with recycled materials,6
BPA Free,6
Made with recycled materials.,5
Water Resistant,5
Garment Dyed,5
PFAS-Free Durable Water Repellent Finish,5
Eco-friendly fabric,5
Eco-friendly material,5
Organic cotton,5
"Cruelty Free, Gluten Free, Vegan",5
100% Natural Soy Wax,5
"Eco-friendly, made from organic cotton",4
contains recycled materials,4
made with recycled materials,4
100% Eco-Cotton Canvas,4
Made from recycled materials.,4
eco-friendly production,4
eco-friendly material,4
"eco-friendly, organic cotton",4
Water-Repellent,4
Cruelty Free,4
Eco-friendly materials used.,4
crafted from recycled materials,4
Vegan,4
eco-conscious,4
Crafted from recycled materials,4
100% Recycled materials,4
Water Repellent Finish,3
"Eco-friendly, made from organic cotton.",3
includes recycled materials,3
Made from 100% Recycled Nylon,3
Vegan + Cruelty Free,3
Oeko-Tex® Standard 100 Certified,3
made from 100% recycled materials,3
100% Recycled Polyamide,3
Made in a Fair Trade Certified™ Factory,3
"Garment Dyed, 100% Organic Cotton",3
Made from premium organic cotton,3
100% Recycled,3
Durable Water Resistant,3
contains recycled polyester,3
"eco-friendly, made from recycled materials",3
Includes recycled materials,3
Eco Anti-Odour Treatment,2
responsibly sourced down fill,2
Biodegradable Packaging,2
Vegetarian & Cruelty Free,2
made from recycled fabrics,2
PU Waterproof Coating,2
Windproof & Water Repellent,2
"Information on eco-friendliness, ethical production, or sustainability certifications.",2
99% Organic Cotton,2
"eco-friendly, organic materials",2
30% Recycled Cotton,2
ethical production,2
Made using recycled materials,2
Eco-friendly materials used,2
Crafted from recycled nylon,2
Recycled 925 Sterling Silver,2
Crafted from organic materials,2
Waterproof,2
Recycled Cotton,2
Made from recycled fleece,2
"Tritan Renew Plastic (50% Waste Plastic), BPA/BPS Free",2
100% organic cotton,2
Made from 100% recycled materials,2
Recycled Post-Consumer Construction,2
Recycled Nylon Laqué Lining,2
"eco-conscious, upcycled materials",2
"Cruelty Free, Fragrance Free, Vegan",2
Soy Based Sockliner,2
Made of 40% Recycled Materials,2
Made with 100% Organic Cotton,2
100% OEKO-TEX Cotton,2
"90% Stearin, 10% Rapeseed Wax",2
Anti-Tarnish Coating,2
Bluesign® Approved,2
Crafted from recycled fabrics,2
Made from recycled plastic,2
100% Upcycled Cotton,2
eco-conscious design,2
Crafted from organic cotton,2
BPA-Free,2
Recycled Fabrication,2
GORE-TEX Technology,2
"NetPlus® 100% Recycled Nylon, Recycled Down Insulation",2
Antibacterial,2
Machine Washable,2
eco-conscious initiative,2
Made from 100% organic cotton,2
Made from 100% Recycled Polyester,2
"Water Repellent, 100% Recycled Polyester",2
sustainable hemp,2
"BPA Free, Dishwasher Safe",2
100% Recycled Plastic,2
Non-Fluorinated DWR Finish,2
Made from organic and recycled materials.,2
crafted from brushed organic cotton,2
Ultramid® Bio-Mass Balanced Fabric,2
Made with organic and recycled materials,2
Water Repellent Fabric,2
Organic,2
Vegan Friendly,2
Made from recycled fabrics,2
Fair Trade Certified™ Sewn,2
"Vegan, Water Resistant",2
Fair Trade Certified,2
98% Organic Cotton,2
"600 Denier 100% Recycled Polyester Body, 210 Denier 100% Recycled Polyester Lining",2
Made from Organic Cotton,2
made with responsible wool,1
organic material,1
100% Original Cotton,1
utilising recycled materials and handmade techniques,1
"Vegan, 100% Recycled Nylon",1
made with organic cotton fleece,1
Upcycled Materials,1
"100% Natural Soy Wax, Cotton Wick",1
recycled materials,1
Made with organic and recycled materials.,1
"eco-friendly, recycled fabric",1
Made from recycled fabric,1
Consciously-crafted from a blend of soft organic and recycled cotton,1
Vegan and cruelty free.,1
Responsible wool,1
"Eco-friendly material, antibacterial and antimicrobial properties.",1
PFC-free,1
crafted from a supremely soft recycled wool blend,1
Recyclable friendly approach,1
"Upcycling, Mixed Recycled Materials",1
crafted from found and recycled materials,1
Made from organic jersey,1
Crafted from undyed organic materials.,1
70% Organic Cotton,1
"Eco-friendly, made from recycled fabric",1
"Sustainable, virgin wool traced back to the source",1
"Antibacterial Finish, Sweat Wicking",1
crafted from a recycled cashmere,1
"High-stretch, recycled fabrics",1
"eco-friendly, 100% Organic Cotton",1
Made from recycled polyester.,1
Recycled Bio-Acetate Frame,1
Eco-friendly due to the use of Organic Cotton,1
"97% Cotton, 3% Polyurethane",1
"All-natural, sustainable patchouli, upcycled cedarwood.",1
Vegan materials,1
94% Organic Cotton,1
Waterproof PU Fabric,1
"eco-conscious, formulated from upcycled ingredients",1
Made with organic cotton.,1
82 GMS Recycled Dupont Wadding,1
recycled cotton,1
Blends organic and recycled materials,1
Chrome Free Leather Upper,1
made from partly recycled cotton,1
made from organic and recycled materials,1
Made from a mix of recycled materials.,1
100% BPA/BPS-Free Tritan,1
Natural Soy Wax,1
Crafted from recycled cashmere,1
"Made from durable, recycled canvas",1
"Water-Resistant, 3M Reflective Print",1
Favors organic and recyclable fibres,1
"Sustainable choice that celebrates a milestone anniversary from a brand which is dedicated to protecting the planet. HeiQ®Eco Dry Durable Water Repellent Coating, 600 Fill Power 100% Recycled Down.",1
Made from sustainable materials.,1
"PPRMINT™ Oil Treatment, sustainable fabric",1
"made with sustainable materials, ethical production",1
Recycled Plastic Construction,1
100% Responsible Down Insulation,1
Made with eco-friendly materials,1
"crafted from recycled nylon, filled with FLWRDWN™",1
Using transitional cotton and plant-based wax for a water-resistant finish.,1
Crafted from eco-conscious recycled polyester,1
Thermogreen™ Insulation,1
Sustainable outdoor apparel by Patagonia,1
Made from recycled materials; PFC-free,1
"700-fill-power 100% Recycled Down Insulation, PFC-Free Durable Water Repellent Finish",1
Made from bio-based and post-consumer recycled materials.,1
"Made from a combination of saltwater seaweed fibre and organic cotton with recycled trims, labels and threads, making it completely vegan.",1
Made of recycled fishing nets,1
made from soft organic cotton,1
"sustainable upgrade, 100% Organic Cotton",1
completely sustainable clothing,1
Made from super-soft organic cotton,1
infused with peppermint oil for freshness,1
Made with recycled and organic materials,1
"eco-conscious merino wool, promotes nature conservation, supports local farming communities",1
"Crafted with sustainable materials, enhanced with PPRMNT™ finish for extended freshness, commitment to reducing water usage.",1
PPRMINT™ Oil Treatment,1
Supports nature conservation and local farming communities.,1
eco-conscious materials that promote nature conservation and support local farming communities,1
crafted from recycled cotton offcuts and organic cotton,1
"Crafted from Nativa™ Merino Wool, a testament to regenerative farming methods.",1
Made from recycled wool,1
Made from recycled wool.,1
"Using pre and post consumer waste, reducing need for virgin materials.",1
"Made from a mix of recycled and organic cotton, responsibly sourced labels and stitching",1
sustainably-focused,1
Sustainably crafted from organic cotton,1
"entirely recycled, planet-friendly",1
60-g PrimaLoft® Gold Insulation,1
Crafted from 100% plant-based nylon,1
"eco-friendly, ethically produced",1
Regenerative organic certified™ cotton,1
"made from recycled materials, eco-conscious brand",1
eco-friendly spin on retro design,1
100% Regenerative Organic Certified™ Cotton,1
Fair Trade Certified™,1
Made from recycled and organic materials.,1
"Water Repellent Finish, Internal FLWRFILL™ Construction",1
"Eco-friendly, organically grown cotton.",1
crafted from recycled ripstop fabric,1
Organically grown cotton,1
sustainably made organic cotton,1
Diverts waste from landfills by using recycled materials.,1
Made from heavyweight organic cotton,1
Made With 30% Recycled Materials,1
40% Recycled Materials,1
Dupont Sorona Biodegradable Down,1
eco-friendly fashion innovation,1
Organic Cotton and Recycled Nylon,1
Made from recycled fishing nets,1
eco-friendly PrimaLoft Gold insulation,1
crafted from a recycled polyester fleece,1
"moisture-wicking, 100% Organic Cotton",1
crafted from sustainable fabrics,1
Utilises recycled materials,1
"Made from recycled materials, produced in a Fair Trade Certified™ factory.",1
